ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,842944
2,9.5,霸王别姬,603468
3,9.4,这个杀手不太冷,808106
4,9.4,阿甘正传,691247
5,9.5,美丽人生,402604
6,9.2,千与千寻,642846
7,9.4,辛德勒的名单,372038
8,9.2,泰坦尼克号,635632
9,9.2,盗梦空间,743451
10,9.3,机器人总动员,487865
11,9.2,海上钢琴师,586896
12,9.1,三傻大闹宝莱坞,655429
13,9.2,忠犬八公的故事,440291
14,9.2,放牛班的春天,440350
15,9.2,大话西游之大圣娶亲,474169
16,9.2,教父,335343
17,9.1,龙猫,407648
18,9.0,楚门的世界,439219
19,9.2,乱世佳人,265213
20,9.1,天堂电影院,303405
21,9.1,触不可及,357182
22,8.9,当幸福来敲门,526196
23,9.0,搏击俱乐部,397095
24,9.2,熔炉,240051
25,9.0,无间道,386706
26,9.4,十二怒汉,166366
27,8.9,怦然心动,527543
28,9.1,指环王3：王者无敌,278676
29,9.0,天空之城,323589
30,9.0,少年派的奇幻漂流,565589
31,8.9,罗马假日,376788
32,9.1,星际穿越,467441
33,9.1,鬼子来了,220560
34,8.9,大话西游之月光宝盒,384340
35,9.0,蝙蝠侠：黑暗骑士,307853
36,9.0,两杆大烟枪,267322
37,9.0,活着,256543
38,8.9,飞屋环游记,486004
39,9.1,窃听风暴,215158
40,9.0,飞越疯人院,271072
41,9.3,海豚湾,178043
42,8.9,闻香识女人,312357
43,8.8,V字仇杀队,400941
44,8.8,哈尔的移动城堡,336076
45,9.1,教父2,180628
46,8.9,美丽心灵,296127
47,8.9,指环王2：双塔奇兵,263069
48,8.9,指环王1：魔戒再现,293595
49,8.9,死亡诗社,267292
50,8.8,情书,361780
51,8.7,天使爱美丽,468615
52,9.1,美国往事,168655
53,9.6,控方证人,78851
54,8.7,七宗罪,422736
55,9.0,钢琴家,196625
56,8.9,狮子王,271820
57,9.1,辩护人,189466
58,9.0,饮食男女,185258
59,8.9,被嫌弃的松子的一生,268126
60,8.8,致命魔术,327847
61,8.8,勇敢的心,288036
62,8.7,剪刀手爱德华,468392
63,9.2,小鞋子,130869
64,8.9,音乐之声,224289
65,8.7,低俗小说,320748
66,8.8,入殓师,309980
67,8.7,本杰明·巴顿奇事,379242
68,8.7,沉默的羔羊,339548
69,8.8,黑客帝国,268493
70,8.7,蝴蝶效应,367034
71,8.8,拯救大兵瑞恩,225700
72,9.1,素媛,164598
73,8.7,西西里的美丽传说,330022
74,8.9,玛丽和马克思,226660
75,8.7,心灵捕手,258587
76,8.8,幽灵公主,224818
77,8.8,春光乍泄,232483
78,8.8,第六感,224148
79,8.7,阳光灿烂的日子,258809
80,8.7,让子弹飞,598538
81,9.2,疯狂动物城,466523
82,9.2,大闹天宫,92440
83,8.7,大鱼,241395
84,8.6,重庆森林,312166
85,8.7,射雕英雄传之东成西就,263334
86,8.9,上帝之城,152383
87,8.8,阳光姐妹淘,256171
88,8.7,甜蜜蜜,223272
89,8.6,禁闭岛,340859
90,8.6,致命ID,302093
91,8.7,告白,324563
92,8.9,一一,147360
93,8.6,加勒比海盗,325495
94,9.0,狩猎,116714
95,8.7,布达佩斯大饭店,289661
96,8.7,爱在黎明破晓前,208339
97,8.6,断背山,303513
98,8.6,阿凡达,506333
99,8.8,末代皇帝,152285
100,8.8,风之谷,167732
101,9.2,摩登时代,82150
102,8.7,猫鼠游戏,207206
103,8.7,爱在日落黄昏时,189134
104,8.7,萤火虫之墓,194635
105,8.8,侧耳倾听,158659
106,8.6,哈利·波特与魔法石,234766
107,8.7,驯龙高手,270543
108,8.8,超脱,162650
109,8.8,穿条纹睡衣的男孩,131107
110,9.0,海洋,95937
111,8.6,幸福终点站,216047
112,8.7,消失的爱人,329840
113,8.7,菊次郎的夏天,169550
114,8.6,倩女幽魂,232650
115,8.5,神偷奶爸,351924
116,8.8,燃情岁月,143753
117,8.7,电锯惊魂,189185
118,9.2,七武士,72197
119,8.7,谍影重重3,171851
120,8.6,岁月神偷,293543
121,8.7,恐怖直播,200043
122,8.7,借东西的小人阿莉埃蒂,204668
123,8.5,真爱至上,295293
124,8.6,雨人,200895
125,8.5,贫民窟的百万富翁,380265
126,8.9,虎口脱险,102427
127,8.6,东邪西毒,236729
128,8.5,记忆碎片,262733
129,8.6,杀人回忆,195469
130,8.8,红辣椒,119985
131,8.7,疯狂原始人,352477
132,8.6,怪兽电力公司,224785
133,8.8,卢旺达饭店,111751
134,8.5,黑天鹅,395511
135,8.6,穿越时空的少女,175939
136,8.8,喜宴,128725
137,8.8,魂断蓝桥,123742
138,8.5,猜火车,237084
139,8.5,恋恋笔记本,264685
140,8.9,小森林 夏秋篇,115189
141,8.7,英雄本色,139136
142,8.5,喜剧之王,286662
143,8.9,雨中曲,88660
144,8.4,傲慢与偏见,283292
145,8.7,教父3,121522
146,9.0,完美的世界,74122
147,8.7,纵横四海,133172
148,8.7,玩具总动员3,183269
149,8.7,萤火之森,144158
150,8.6,人工智能,179730
151,8.8,我是山姆,95470
152,8.7,浪潮,122981
153,8.4,香水,260546
154,8.6,7号房的礼物,159159
155,8.4,冰川时代,254638
156,8.6,哈利·波特与死亡圣器(下),256712
157,8.5,花样年华,229480
158,8.6,撞车,165703
159,8.5,朗读者,266084
160,8.9,追随,74840
161,8.7,一次别离,124288
162,8.7,罗生门,114886
163,8.7,荒蛮故事,118031
164,8.7,碧海蓝天,104066
165,8.7,梦之安魂曲,104796
166,8.5,战争之王,164826
167,8.6,心迷宫,142736
168,8.6,时空恋旅人,180955
169,8.6,可可西里,120953
170,8.3,唐伯虎点秋香,295018
171,8.4,秒速5厘米,273750
172,8.6,超能陆战队,340913
173,8.8,地球上的星星,77597
174,8.9,小森林 冬春篇,99197
175,8.5,蝙蝠侠：黑暗骑士崛起,275370
176,8.6,海盗电台,158698
177,8.5,谍影重重2,149253
178,8.5,谍影重重,180279
179,8.5,阿飞正传,166330
180,8.3,恐怖游轮,293067
181,8.6,爆裂鼓手,217678
182,8.6,达拉斯买家俱乐部,155720
183,8.8,未麻的部屋,84639
184,8.8,惊魂记,75899
185,9.1,迁徙的鸟,49677
186,8.7,绿里奇迹,99413
187,8.4,魔女宅急便,179534
188,8.6,荒野生存,119815
189,8.5,勇闯夺命岛,133882
190,8.5,再次出发之纽约遇见你,152335
191,8.7,牯岭街少年杀人事件,96807
192,9.2,东京物语,46577
193,8.6,卡萨布兰卡,116867
194,8.5,被解救的姜戈,243428
195,8.6,燕尾蝶,103355
196,8.7,末路狂花,97073
197,8.5,这个男人来自地球,164237
198,8.5,终结者2：审判日,131903
199,8.4,变脸,201524
200,8.4,英国病人,165561
201,9.0,忠犬八公物语,51427
202,8.4,青蛇,202820
203,8.5,E.T. 外星人,142547
204,8.8,哪吒闹海,73278
205,8.6,叫我第一名,102309
206,8.3,源代码,383137
207,8.4,发条橙,174803
208,9.1,黄金三镖客,47268
209,8.4,新龙门客栈,169296
210,8.5,黑客帝国3：矩阵革命,143603
211,8.4,美国丽人,172427
212,8.3,穆赫兰道,218559
213,8.6,非常嫌疑犯,107923
214,9.2,城市之光,39324
215,8.4,无耻混蛋,208770
216,8.6,上帝也疯狂,90220
217,8.2,初恋这件小事,426234
218,8.9,勇士,81872
219,9.0,爱·回家,44302
220,8.3,蓝色大门,259628
221,8.3,曾经,192880
222,8.5,模仿游戏,232638
223,8.6,无敌破坏王,173089
224,8.7,大卫·戈尔的一生,81332
225,8.5,麦兜故事,119970
226,8.5,血钻,119507
227,8.4,暖暖内含光,135231
228,8.6,蝴蝶,91046
229,8.3,国王的演讲,315148
230,8.5,遗愿清单,116122
231,8.6,巴黎淘气帮,100077
232,8.9,与狼共舞,53190
233,8.7,爱在午夜降临前,104853
234,8.6,枪火,90767
235,8.4,荒岛余生,122538
236,8.2,疯狂的石头,285923
237,8.5,偷拐抢骗,108873
238,8.7,千钧一发,76562
239,8.3,夜访吸血鬼,186308
240,8.5,月球,132805
241,9.0,我爱你,50839
242,8.8,寿司之神,75541
243,8.7,中央车站,72343
244,8.3,爱在暹罗,209510
245,8.5,廊桥遗梦,90939
246,8.4,罪恶之城,132858
247,8.4,彗星来的那一夜,151237
248,8.1,两小无猜,303359
249,8.5,黑鹰坠落,101854
250,8.2,假如爱有天意,217600
